"BUSINESSES","Business and Consumers ",
"COUNTIES","Municipal and County Issues",
"SENTENCING","Crime","Legal Issues "
"INSURANCE","Insurance ",
"CRIMES","Crime",
"UTILITIES","Public Services",
"TRAFFIC","Transportation ",
"SALES","Commerce ",
"RECORDS","Other ",
"WATER","Environmental ",
"COURTS","Legal Issues ",
"TAXES","Budget, Spending, and Taxes ",
"LEGISLATURE","Legislative Affairs ",
"TRANSPORTATION","Transportation ",
"CHILDREN","Family and Children Issues ",
"ELECTIONS","Campaign Finance and Election Issues ",
"AGRICULTURE","Agriculture and Food ",
"ENERGY","Energy ",
"INDIANS","Indigenous Peoples",
"BUDGET","Budget, Spending, and Taxes ",
"PROFESSIONS","Labor and Employment ",
"LABOR","Labor and Employment ",
"MILITARY","Military ",
"MANUFACTURING","Technology and Communication ",
"GOVERNOR","Other ",
"CONTRACTORS","Labor and Employment ",
"VETERANS","Military ",
"FIREARMS","Guns ",
"DRUGS","Drugs ",
"TEACHERS","Labor and Employment ","Education"
"STUDIES","Education",
"COMPUTERS","Technology and Communication ",
"BOATS","Transportation ","Recreation"
"SPORTS","Recreation",
"ANIMALS","Animal Rights and Wildlife Issues  ",
"TECHNOLOGY","Technology and Communication ",
"LOANS","Commerce ",
"FERRIES","Transportation ",
"ENVIRONMENT","Environmental ",
"CORPORATIONS","Labor and Employment ",
"LIVESTOCK","Animal Rights and Wildlife Issues  ",
"HOSPITALS","Health",
"WILDLIFE","Animal Rights and Wildlife Issues  ",
"TELECOMMUNICATIONS","Technology and Communication ",
"JUDGMENTS","Legal Issues ",
"CONSERVATION","Environmental ",
"SCIENCE","Science and Medical Research",
"CAMPAIGNS","Campaign Finance and Election Issues ",
"AERONAUTICS","Technology and Communication ",
"IDENTIFICATION","Other ",
"WOMEN","Other ",
"JUDGES","Legal Issues ",
"JAILS","Crime",
"FARMS","Agriculture and Food ",
"BONDS","Other ",
"SALMON","Animal Rights and Wildlife Issues  ",
"RIVERS","Environmental ",
"HUNTING","Environmental ",
"FUELS","Energy ",
"DISCRIMINATION","Other ",
"ATTORNEYS","Legal Issues ",
"PARKING","Transportation ",
"GUARDIANSHIP","Family and Children Issues ",
"ADOPTION","Family and Children Issues ",
"GAMBLING","Gambling and Gaming",
"RECYCLING","Environmental ",
"PARKS","Environmental ","Public Services "
"AFRICAN-AMERICANS","Other ",
"RAILROADS","Transportation ",
"METAL","Other ",
"FIREFIGHTERS","Other ",
"ADVERTISING","Other ",
"BLIND","Other ",
"WEEDS","Environmental ",
"WATERSHEDS","Environmental ",
"VETERINARIANS","Animal Rights and Wildlife Issues  ","Labor and Employment "
"STEELHEAD","Other ",
"PARTNERSHIPS","Other ",
"MUSIC","Recreation",
"CLIMATE","Environmental ",
"ABORTION","Reproductive Issues ",
"TIME","Other ",
"SUBDIVISIONS","Other ",
"FISH","Animal Rights and Wildlife Issues  ","Agriculture and Food "
"EXPLOSIVES","Other ",
"CONVEYANCES","Other ",
"AUDITORIUMS","Other ",
"STATE AGENCIES AND DEPARTMENTS","State Agencies ",
"SCHOOLS AND SCHOOL DISTRICTS","Education",
"PUBLIC FUNDS AND ACCOUNTS","Public Services ",
"COLLEGES AND UNIVERSITIES","Education",
"HEALTH CARE","Health",
"MOTOR VEHICLES","Transportation",
"COMMUNITY AND TECHNICAL COLLEGES","Education",
"CITIES AND TOWNS","Municipal and County Issues",
"PUBLIC EMPLOYMENT AND EMPLOYEES","Labor and Employment ",
"TAXES - SALES TAX","Budget, Spending, and Taxes",
"LICENSING, DEPARTMENT","State Agencies ",
"PUBLIC ASSISTANCE","Public Services ",
"SOCIAL AND HEALTH SERVICES, DEPARTMENT","Health",
"TAXES - EXCISE TAX","Budget, Spending, and Taxes",
"TAXES - PROPERTY TAX","Budget, Spending, and Taxes",
"CRIMINAL OFFENDERS","Crime",
"SENATE RESOLUTIONS","Legislative Affairs",
"LABOR AND INDUSTRIES, DEPARTMENT","Labor and Employment ","State Agencies"
"TAXES - BUSINESS AND OCCUPATION TAX","Budget, Spending, and Taxes","Business and Consumers"
"ECOLOGY, DEPARTMENT","State Agencies ",
"TAXES - USE TAX","Budget, Spending, and Taxes",
"LAW ENFORCEMENT AND LAW ENFORCEMENT OFFICERS","Public Services ",
"STATE GOVERNMENT","State Agencies ",
"RETIREMENT AND PENSIONS","Labor and Employment ",
"FISH AND WILDLIFE, DEPARTMENT","Animal Rights and Wildlife Issues",
"ROADS AND HIGHWAYS","Transportation",
"HOUSE RESOLUTIONS","Housing and Property",
"HEALTH CARE PROFESSIONS","Health",
"CIVIL PROCEDURE","Civil Liberties and Civil Rights",
"PUBLIC INSTRUCTION, SUPERINTENDENT","Education",
"COMMERCE, DEPARTMENT","State Agencies ","Commerce"
"REAL ESTATE AND REAL PROPERTY","Housing and Property",
"LOCAL GOVERNMENT","State Agencies ",
"WORKERS' COMPENSATION","Labor and Employment ",
"HEALTH, DEPARTMENT","Health",
"LIQUOR CONTROL BOARD","Other",
"ALCOHOLIC BEVERAGES","Other",
"WAGES AND HOURS","Labor and Employment ",
"TRANSPORTATION, DEPARTMENT","Transportation",
"HIGHER EDUCATION COORDINATING BOARD","Education",
"HOMES AND HOUSING","Housing and Property",
"DRIVERS AND DRIVERS' LICENSES","Transportation",
"TRAFFIC OFFENSES","Transportation",
"TITLE ONLY BILLS","Legislative Affairs",
"PUBLIC HEALTH AND SAFETY","Health",
"HEALTH CARE AUTHORITY","Health",
"CORRECTIONS, DEPARTMENT","Crime",
"GROWTH MANAGEMENT","Other",
"PUBLIC WORKS","Public Services ",
"EMPLOYMENT AND EMPLOYEES","Labor and Employment ",
"NATURAL RESOURCES, DEPARTMENT","Environmental","State Agencies"
"CRIMINAL PROCEDURE","Crime",
"JUVENILE COURT AND JUVENILE OFFENDERS","Legal Issues","Family and Children Issues"
"HOLIDAYS AND OBSERVANCES","Resolutions",
"DOMESTIC RELATIONS","Family and Children Issues",
"FINANCIAL MANAGEMENT, OFFICE","State Agencies ",
"MENTAL HEALTH","Health",
"SEX OFFENSES AND OFFENDERS","Crime",
"EARLY LEARNING, DEPARTMENT","State Agencies ","Education"
"WATER RIGHTS","Environmental",
"DEVELOPMENTAL DISABILITIES, PERSONS WITH","Health",
"AGRICULTURE, DEPARTMENT","State Agencies ","Agriculture and Food"
"MEDICINE AND MEDICAL DEVICES","Health",
"WATER POLLUTION","Environmental",
"OUTDOOR RECREATION","Recreation",
"MANUFACTURED HOUSING","Housing and Property",
"FOOD AND FOOD PRODUCTS","Agriculture and Food",
"PARKS AND RECREATION COMMISSION","Recreation",
"NONPROFIT ORGANIZATIONS","Business and Consumers",
"MOBILE HOMES","Housing and Property",
"LANDLORD AND TENANT","Housing and Property",
"FOREST LAND","Environmental",
"COMMUNITY AND TECHNICAL COLLEGES, STATE BOARD","Education",
"CHILD CARE","Health","Family and Children Issues"
"PUBLIC LANDS","Environmental",
"PRISONS AND PRISONERS","Crime",
"LOW-INCOME PERSONS","Labor and Employment ",
"HUMAN REMAINS","Other",
"PERSONAL PROPERTY","Housing and Property",
"NURSING HOMES","Health",
"EMERGENCY SERVICES","Health",
"DISABILITIES, PERSONS WITH","Health",
"UTILITIES AND TRANSPORTATION COMMISSION","Transportation",
"REVENUE, DEPARTMENT","State Agencies ",
"PORT DISTRICTS","Transportation",
"GENERAL ADMINISTRATION, DEPARTMENT","State Agencies ",
"FIRE PROTECTION","Other",
"ELECTRONIC PRODUCTS","Technology and Communication",
"LONG-TERM CARE","Health",
"AIR QUALITY AND POLLUTION","Environmental",
"WASHINGTON ADMINISTRATIVE CODE","Other",
"TAXES - PUBLIC UTILITY TAX","Budget, Spending, and Taxes",
"SHORELINES AND SHORELINE MANAGEMENT","Environmental",
"PUBLIC TRANSIT","Transportation",
"PHARMACIES AND PHARMACISTS","Health",
"HOMELESS PERSONS","Welfare and Poverty",
"COUNSELORS AND COUNSELING","Other",
"VICTIMS OF CRIMES","Crime",
"INITIATIVE AND REFERENDUM","Other",
"FOREST PRACTICES AND PRODUCTS","Environmental",
"FISHING, COMMERCIAL","Animal Rights and Wildlife Issues",
"CHECKS AND CHECK CASHING","Budget, Spending, and Taxes",
"ART AND ARTWORKS","Arts and Humanities",
"ALCOHOL AND DRUG ABUSE","Drugs",
"ADMINISTRATIVE PROCEDURE","Other",
"SEWAGE AND SEWERS","Environmental",
"PROFESSIONAL EDUCATOR STANDARDS BOARD","Education",
"FISH AND WILDLIFE COMMISSION","Animal Rights and Wildlife Issues",
"FINANCIAL INSTITUTIONS","Commerce",
"SECRETARY OF STATE","State Agencies ",
"REVISED CODE OF WASHINGTON","Other",
"PUBLIC DISCLOSURE","Other",
"LAND USE PLANNING AND DEVELOPMENT","Environmental",
"INSURANCE COMMISSIONER","Insurance",
"INFORMATION SERVICES, DEPARTMENT","State Agencies ",
"HEALTH, STATE BOARD","Health",
"FOSTER CARE","Family and Children Issues",
"EMINENT DOMAIN","Legal Issues",
"PUBLIC EMPLOYMENT RELATIONS COMMISSION","Labor and Employment ",
"LEGISLATIVE AUDIT AND REVIEW COMMITTEE, JOINT","Legislative Affairs",
"EDUCATION, BOARD","Education",
"CONSERVATION COMMISSION","Environmental",
"ACTIONS AND PROCEEDINGS","Other",
"VULNERABLE ADULTS","Other",
"UNEMPLOYMENT COMPENSATION","Labor and Employment ",
"TOBACCO AND TOBACCO PRODUCTS","Drugs",
"RECREATION AND CONSERVATION OFFICE","Recreation",
"LOTTERY, STATE","Gambling and Gaming",
"FOREST PRACTICES BOARD","Environmental",
"FISHING, RECREATIONAL","Animal Rights and Wildlife Issues",
"CHARITABLE ORGANIZATIONS","Other",
"BUILDING CODES/PERMITS","Housing and Property",
"ATTORNEY GENERAL","Legislative Affairs",
"WORKFORCE TRAINING AND EDUCATION COORDINATING BOARD","Education","Labor and Employment"
"TAXES - MOTOR VEHICLE FUEL","Budget, Spending, and Taxes","Transportation"
"STATE AUDITOR","Other",
"SPECIAL PURPOSE DISTRICTS","Other",
"SENIOR CITIZENS","Senior Issues ",
"PUBLIC POLICY, INSTITUTE FOR","Education",
"OIL AND GAS","Energy","Transportation"
"OFFICIAL STATE DESIGNATION","Other ",
"MORTGAGES AND MORTGAGE BROKERS","Housing and Property",
"ESTATES, TRUSTS, AND PROBATE","Housing and Property","Legal Issues"
"ENERGY FACILITY SITE EVALUATION COUNCIL","Energy",
"DOMESTIC VIOLENCE","Family and Children Issues","Crime"
"DOMESTIC PARTNERS","Family and Children Issues",
"CONSUMER PROTECTION","Business and Consumers",
"ARCHAEOLOGY AND HISTORIC PRESERVATION, DEPARTMENT","State Agencies ",
"WATER-SEWER DISTRICTS","Environmental",
"TAXES - LOCAL OPTION TRANSPORTATION","Budget, Spending, and Taxes","Transportation"
"PUBLIC WORKS BOARD","Public Services ",
"PUBLIC DISCLOSURE COMMISSION","Other ",
"PRINTERS AND PRINTING","Other ",
"PERFORMING ARTS","Arts and Humanities",
"MARINE EMPLOYEES' COMMISSION","Labor and Employment ",
"LAKES AND RESERVOIRS","Environmental",
"HYDRAULIC PERMITS AND PROJECTS","Technology and Communication",
"HEALTH DEPARTMENTS, LOCAL","Health",
"FINANCIAL INSTITUTIONS, DEPARTMENT","State Agencies ",
"EMPLOYMENT SECURITY DEPARTMENT","State Agencies ","Labor and Employment"
"CREDIT UNIONS","Other",
"CITIZEN COMMISSION FOR PERFORMANCE MEASUREMENT OF TAX PREFERENCES","Budget, Spending, and Taxes",
"APPRENTICES AND APPRENTICESHIP PROGRAMS","Labor and Employment ",
"ZOOS AND AQUARIUMS","Animal Rights and Wildlife Issues",
"VOCATIONAL EDUCATION","Education",
"TAXES - CIGARETTE TAX","Budget, Spending, and Taxes",
"PUBLIC FACILITIES DISTRICTS","Public Services ",
"PERSONNEL, DEPARTMENT","State Agencies ",
"INDETERMINATE SENTENCE REVIEW BOARD","Other",
"HUMAN RIGHTS COMMISSION","Civil Liberties and Civil Rights",
"COMMERCIAL VESSELS AND SHIPPING","Transportation",
"CODE REVISER","Other",
"CAPITOL CAMPUS","Other",
"BUILDING CODE COUNCIL","Housing and Property",
"BANKS AND BANKING","Commerce",
"TAXES - REAL ESTATE EXCISE","Budget, Spending, and Taxes","Housing and Property"
"TAXES - LEASEHOLD EXCISE TAX","Budget, Spending, and Taxes","Housing and Property"
"TAXES - AIRCRAFT EXCISE TAX","Budget, Spending, and Taxes","Transportation"
"STORM WATER CONTROL FACILITIES","Environmental",
"RETIREMENT SYSTEMS, DEPARTMENT","State Agencies ","Labor and Employment"
"POLLUTION CONTROL HEARINGS BOARD","Environmental",
"NEWS MEDIA","Technology and Communication",
"INVESTMENT BOARD","Other",
"HISTORICAL SOCIETIES","Arts and Humanities",
"FLOOD CONTROL","Environmental",
"FINANCE COMMITTEE, STATE","State Agencies ",
"EDUCATION OMBUDSMAN, OFFICE OF THE","Education",
"DNA (DEOXYRIBONUCLEIC ACID)","Science and Medical Research",
"DIKING AND DRAINAGE","Other",
"DENTISTS AND DENTISTRY","Health",
"CONSTITUTION, STATE","Government Reform",
"COMMUNITY ECONOMIC REVITALIZATION BOARD","Other",
"CITIZENS' COMMISSION ON SALARIES FOR ELECTED OFFICIALS","Other",
"BAIL AND BAIL BONDS","Crime",
"ARTS COMMISSION","Arts and Humanities",
"TRUST COMPANIES","Business and Consumers",
"TRANSPORTATION COMMISSION","Transportation",
"TOURISM COMMISSION","Recreation",
"TIMBER AND TIMBER INDUSTRIES","Environmental",
"TAXES - WATERCRAFT EXCISE TAX","Budget, Spending, and Taxes",
"TAXES - TOBACCO PRODUCTS","Budget, Spending, and Taxes","Drugs"
"TAXES - SPECIAL FUEL","Budget, Spending, and Taxes",
"TAXES - SOLID WASTE COLLECTION","Budget, Spending, and Taxes",
"TAXES - ENHANCED FOOD FISH","Budget, Spending, and Taxes","Agriculture and Food"
"SENTENCING GUIDELINES COMMISSION","Crime",
"PUGET SOUND PARTNERSHIP","Other",
"OPEN PUBLIC MEETINGS","Public Services ",
"MINORITY AND WOMEN'S BUSINESS ENTERPRISES, OFFICE","Sexual Orientation and Gender Issues",
"MINES AND MINING","Environmental",
"IMMIGRATION AND IMMIGRANTS","Immigration",
"HISPANIC AFFAIRS, COMMISSION","Other",
"GEOLOGY AND GEOLOGISTS","Labor and Employment ","Environmental"
"FAMILY POLICY COUNCIL","Family and Children Issues",
"EXECUTIVE ETHICS BOARD","Other",
"ECONOMIC DEVELOPMENT COMMISSION","Other",
"CREDIT AND DEBIT CARDS","Commerce",
"COLUMBIA RIVER GORGE COMMISSION","Other",
"CHILDREN AND FAMILIES, COUNCIL","Family and Children Issues",
"CHILDHOOD DEAFNESS AND HEARING LOSS, STATE CENTER","Family and Children Issues","Health"
"CASELOAD FORECAST COUNCIL","Other",
"BLIND, STATE SCHOOL","Health",
"AUDITORS AND AUDITING","Other",
"ASIAN PACIFIC AMERICAN AFFAIRS, COMMISSION","Federal, State, and Local Relations",
"ADMINISTRATIVE OFFICE OF THE COURTS","Judiciary ",
"ADMINISTRATIVE HEARINGS, OFFICE","Other",
"UNIFORM LAW COMMISSION","Other ",
"TAXES - LODGING TAX","Budget, Spending, and Taxes",
"TAXES - ESTATE TAX","Budget, Spending, and Taxes","Housing and Property"
"SHORELINES HEARINGS BOARD","Other",
"PUBLIC RECORDS EXEMPTIONS ACCOUNTABILITY COMMITTEE","Other",
"PROBATION AND PAROLE","Crime",
"PLANNING COMMISSIONS","Other ",
"OCEAN RESOURCES","Environmental",
"LONG-TERM CARE OMBUDSMAN, OFFICE OF STATE","Other",
"LIFE SCIENCES DISCOVERY FUND","Science and Medical Research",
"LIEUTENANT GOVERNOR, OFFICE","Labor and Employment ",
"LIBRARY, STATE","State Agencies ",
"LEGISLATIVE SELECT COMMITTEE ON HEALTH REFORM IMPLEMENTATION, JOINT","Legislative Affairs",
"LEGISLATIVE EVALUATION AND ACCOUNTABILITY PROGRAM","Legal Issues",
"JUDICIAL CONDUCT, COMMISSION","Judiciary ",
"HORSE RACING COMMISSION","Gambling and Gaming",
"HORSE RACING","Gambling and Gaming",
"ECONOMIC DEVELOPMENT FINANCE AUTHORITY","Other",
"ECONOMIC AND REVENUE FORECAST COUNCIL","Other",
"COURT RESEARCH, CENTER FOR","Judiciary ",
