"COMMERCE, DEPARTMENT OF","Commerce",,
"LEGISLATURE - CRIMINAL PENALTIES, JOINT REVIEW COMMITTEE ON","Crime",,
"NATURAL RESOURCES, DEPARTMENT OF - ENVIRONMENTAL PROTECTION","Environmental",,
"CHILDREN AND FAMILIES, DEPARTMENT OF","Family and Children Issues",,
"INCOME TAX - CREDIT","Budget, Spending, and Taxes",,
"TRANSPORTATION, DEPARTMENT OF - VEHICLES","Transportation",,
"COURT - PROCEDURE","Judiciary",,
"FRANCHISE - TAXATION","Budget, Spending, and Taxes","Business and Consumers",
"DATA PROCESSING","Other",,
"POLICE","Public Services",,
"INDUSTRIAL DEVELOPMENT","Commerce",,
"HOLIDAYS AND SPECIAL DATES","Resolutions",,
"INSURANCE - HEALTH","Health","Insurance",
"REVENUE, DEPARTMENT OF","Budget, Spending, and Taxes",,
"TRANSPORTATION, DEPARTMENT OF - ROADS","Transportation","State Agencies",
"AGRICULTURE, TRADE AND CONSUMER PROTECTION, DEPARTMENT OF","Agriculture and Food",,
"FEDERAL AID","Federal, State, and Local Relations",,
"CRIME AND CRIMINALS","Crime",,
"ORGANIZATION, MISCELLANEOUS","Other",,
"REPORTS","Other",,
"PUBLIC INSTRUCTION, DEPARTMENT OF","State Agencies",,
"EMPLOYMENT","Labor and Employment",,
"LEGISLATURE - TAX EXEMPTIONS, JOINT SURVEY COMMITTEE ON","Legislative Affairs","Budget, Spending, and Taxes",
"SCHOOL","Education",,
"STATE AGENCIES","State Agencies",,
"MEDICAL SERVICE","Health",,
"HEALTH SERVICES, DEPARTMENT OF - SUPPORTIVE LIVING AND TREATMENT","Health",,
"ENERGY CONSERVATION","Energy",,
"HEALTH SERVICES, DEPARTMENT OF - HEALTH","Health",,
"DAY CARE","Family and Children Issues",,
"LEGISLATURE - FINANCE, JOINT COMMITTEE ON","Legislative Affairs","Commerce",
"CORRECTIONS, DEPARTMENT OF","Crime","State Agencies",
"ADMINISTRATION, DEPARTMENT OF - AGENCY AND GENERAL FUNCTIONS","State Agencies",,
"CRIME AND CRIMINALS - FELONY","Crime",,
"WORKFORCE DEVELOPMENT, DEPARTMENT OF","Labor and Employment",,
"INDIANS AND TRIBAL ISSUES","Indigenous Peoples",,
"MOTOR VEHICLE - DRIVER'S LICENSE","Transportation",,
"CORPORATION - TAXATION","Budget, Spending, and Taxes",,
"CONTRACTS","Business and Consumers",,
"SEX CRIMES","Crime",,
"BUSINESS","Business and Consumers",,
"MEDICAL ASSISTANCE","Health",,
"DRUGS","Drugs",,
"SENTENCES AND PENALTIES","Crime",,
"PUBLIC SERVICE COMMISSION","State Agencies","Public Services",
