"Legislature--Rule Making","Legislative Affairs",,
"Boards and Commissions","State Agencies",,
"Health (And Related Subheadings)","Health",,
"Elections","Campaign Finance and Election Issues",,
"Education (And Related Subheadings)","Education",,
"Taxation -- Personal & Corporate Income Tax","Budget, Spending, and Taxes",,
"Governmental Agencies","State Agencies",,
"Professions and Occupations","Labor and Employment",,
"Child Welfare","Family and Children Issues",,
"Crimes (And Related Subheadings)","Crime",,
"Public Employees","State Agencies",,
"Salaries","State Agencies","Labor and Employment",
"Retirement -- Public Employees","State Agencies","Labor and Employment",
"Mines and Minerals","Environmental",,
"Taxation (And Related Subheadings)","Budget, Spending, and Taxes",,
"Environmental Protection","Environmental",,
"Military Affairs","Military",,
"Courts (And Related Subheadings)","Judiciary",,
"Education -- Salaries, Classifications, Leave","Education",,
"Corrections","Crime","Judiciary",
"Law Enforcement (And Related Subheadings)","Public Services",,
"Education -- Colleges & Universities","Education",,
"Corporations and Business Entities","Business and Consumers",,
"Funds","Budget, Spending, and Taxes",,
"Education  (And Related Subheadings)","Education",,
"Taxation -- Property","Budget, Spending, and Taxes",,
"Natural Resources","Environmental",,
"Insurance (And Related Subheadings)","Insurance",,
"Roads and Highways","Transportation",,
"Real Property","Housing and Property",,
"Licenses","Business and Consumers",,
"Animals","Animal Rights and Wildlife Issues",,
"Health -- Personnel","Health",,
"Economic Development","Business and Consumers",,
"Domestic Relations","Family and Children Issues",,
"Municipalities","Municipal and County Issues",,
"Fire Fighting and Prevention","Public Services",,
"Technology","Technology and Communication",,
"Gaming Activities","Gambling and Gaming",,
"Drugs and Drug Paraphernalia","Drugs",,
"Motor Vehicles -- Licenses, Registration & Inspection","Transportation",,
"Alcohol","Drugs",,
"Law Enforcement -- State Police","Public Services",,
"Labor","Labor and Employment",,
"Human Services","Health","Public Services",
"Health -- Insurance","Health","Insurance",
"Insurance -- Health","Insurance","Health",
"Firearms","Guns",,
"Disabilities","Health",,
"Abortion","Reproductive Issues",,
"Prescriptions and Medications","Health",,
"Motor Vehicles -- Regulations","Transportation",,
"Health -- Facilities","Health",,
"Education -- Courses, Programs & Testing","Education",,
"Crimes -- Felonies","Crime",,
"Workers Compensation","Labor and Employment",,
"Taxation -- Consumers Sales Tax","Business and Consumers","Budget, Spending, and Taxes",
"Energy","Energy",,
"Courts -- Magistrate","Judiciary",,
"Liability","Legal Issues",,
"Retirement -- Education Personnel","Education","Labor and Employment",
"Crimes -- Sexual Offenses","Crime",,
"Motor Vehicles (And Related Subheadings)","Transportation",,
"Counties -- Commissions","Municipal and County Issues",,
"Civil Rights","Civil Liberties and Civil Rights",,
"Retirement (And Related Subheadings)","Senior Issues","Labor and Employment",
"Consumer Protection","Business and Consumers",,
"Actions and Suits","Legal Issues",,
"Utilities","Energy",,
"Senior Citizens","Senior Issues",,
"Insurance -- Public Employees","Insurance",,
"Education -- Retirement","Education",,
"Health  (And Related Subheadings)","Health",,
"Secretary of State","State Agencies",,
"Claims","Insurance",,
"Water Resources","Environmental",,
"Counties (And Related Subheadings)","Municipal and County Issues",,
"Tourism","Recreation",,
