state,abbr,planned phase,maintainer,priority,next session,2013 data live?,scraping again?,notes,population,lower members list,lower ballotpedia 2012 results,upper members list,upper ballotpedia 2012 results
Alabama,al,phase 3,james,C,2/5/2013,,yes,,4802740,http://www.legislature.state.al.us/house/representatives/houseroster_alpha.html,,http://www.legislature.state.al.us/senate/senators/senateroster_alpha.html,
Alaska,ak,live,paultag,B,1/15/2013,no - 1/03,no,New legislators absent,722718,http://house.legis.state.ak.us/,"http://ballotpedia.org/wiki/index.php/Alaska_House_of_Representatives_elections,_2012",http://senate.legis.state.ak.us/,http://ballotpedia.org/wiki/index.php/State_houses
Arizona,az,live,thom,B,1/14/2013,yes - 1/2 ,"legislators, committees only; no bills posted yet",http://www.azleg.gov/FormatDocument.asp?inDoc=/legtext/51Leg/1r/bills/scm1001o.asp - screws up scraper - PRT,6482505,http://www.azleg.gov/memberroster.asp?body=H,"http://ballotpedia.org/wiki/index.php/Arizona_House_of_Representatives_elections,_2012",http://www.azleg.gov/MemberRoster.asp?Body=S&SortBy=1,"http://ballotpedia.org/wiki/index.php/Arizona_State_Senate_elections,_2012"
Arkansas,ar,live,thom,B,1/14/2013,"legislators, committees only; no bills posted yet",no,Senators-elect added but incumbents not removed - legislator scraper has years hardcoded - PRT,2937979,http://www.arkansashouse.org/members,"http://ballotpedia.org/wiki/index.php/Arkansas_House_of_Representatives_elections,_2012",http://www.arkleg.state.ar.us/assembly/2013/2013R/Pages/LegislatorSearchResults.aspx?member=&committee=All&chamber=senator,"http://ballotpedia.org/wiki/index.php/Arkansas_State_Senate_elections,_2012"
California,ca,live,thom,A,full time legis. starts session 12/3/12,yes - 12/4,yes,,37691912,http://assembly.ca.gov/assemblymembers,"http://ballotpedia.org/wiki/index.php/California_State_Assembly_elections,_2012",http://senate.ca.gov/senators,"http://ballotpedia.org/wiki/index.php/California_State_Senate_elections,_2012"
Colorado,co,live,paultag,A,1/11/2013,likely yes,no,Deleted doc causing issues - PRT,5116769,http://www.leg.state.co.us/clics/clics2012b/directory.nsf/Pink%20Book%5Ci.%20House%20Members?OpenView,"http://ballotpedia.org/wiki/index.php/Colorado_House_of_Representatives_elections,_2012",http://www.leg.state.co.us/clics/clics2012b/directory.nsf/Pink%20Book%5Cb.%20Senate%20Members?OpenView,"http://ballotpedia.org/wiki/index.php/Colorado_State_Senate_elections,_2012"
Connecticut,ct,phase 3,james,B,1/9/2013,not at ftp://ftp.cga.ct.gov/pub/data,,,3580709,http://www.cga.ct.gov/asp/menu/hlist.asp,"http://ballotpedia.org/wiki/index.php/Connecticut_House_of_Representatives_elections,_2012",http://www.cga.ct.gov/asp/menu/slist.asp,"http://ballotpedia.org/wiki/index.php/Connecticut_State_Senate_elections,_2012"
Delaware,de,live,thom,A,1/8/2013,yes,yes (no real data yet),"leg scrapers still works; just needs committees (fixed, 12/13/12, PRT)",907135,http://legis.delaware.gov/legislature.nsf/Reps?openview&Count=75&nav=house&count=75,"http://ballotpedia.org/wiki/index.php/Delaware_House_of_Representatives_elections,_2012",http://legis.delaware.gov/legislature.nsf/sen?openview&nav=senate,"http://ballotpedia.org/wiki/index.php/Delaware_State_Senate_elections,_2012"
District of Columbia,dc,live,james,A,,,yes,,617996,http://dccouncil.us/council,,,
Florida,fl,live,thom,C,3/5/2013 (regular session),yes - 1/2,no,Some elected leg's not live yet,19057542,http://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,"http://ballotpedia.org/wiki/index.php/Florida_House_of_Representatives_elections,_2012",http://www.flsenate.gov/Senators/,"http://ballotpedia.org/wiki/index.php/Florida_State_Senate_elections,_2012"
